"Degriz Gdpr Newsletter","Degriz Gdpr Newsletter"
"Degriz Gdpr Newsletter settings","Degriz Gdpr Newsletter settings"
"Degriz Gdpr QuickCheckout settings","Degriz Gdpr QuickCheckout settings"
"Show confirmation checkbox","Show confirmation checkbox"
"Include jQuery Library","Include jQuery Library"
"Mostly jQuery is already included","Mostly jQuery is already included"
"Confirmation text","Confirmation text"
"Confirmation link text","Confirmation link text"
"Popup HTML","Popup HTML"
"Yes, I agree","Yes, I agree"
"No, i don't agree","No, i don't agree"
